Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VAR,Chrome 67.0.3396.99,,2018-07-25 11:24:07,2018-07-25 11:24:30,23.419s,PASSED
,,,,,,
Test Cases/DAY2/Test VAR,Chrome 67.0.3396.99,,2018-07-25 11:24:07,2018-07-25 11:24:19,12.302s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:24:07,2018-07-25 11:24:10,2.747s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:24:10,2018-07-25 11:24:14,4.126s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:24:14,2018-07-25 11:24:14,0.180s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:24:14,2018-07-25 11:24:14,0.080s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:24:14,2018-07-25 11:24:19,4.217s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:24:19,2018-07-25 11:24:19,0.629s,PASSED
,,,,,,
Test Cases/DAY2/Test VAR_global,Chrome 67.0.3396.99,,2018-07-25 11:24:19,2018-07-25 11:24:30,10.782s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:24:19,2018-07-25 11:24:21,1.913s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:24:21,2018-07-25 11:24:25,3.925s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:24:25,2018-07-25 11:24:25,0.110s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:24:25,2018-07-25 11:24:25,0.096s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:24:25,2018-07-25 11:24:29,3.969s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:24:29,2018-07-25 11:24:30,0.620s,PASSED
