Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VAR2,Firefox 61.0,,2018-07-25 11:24:31,2018-07-25 11:25:04,32.246s,PASSED
,,,,,,
Test Cases/DAY1/Orange HRM,Firefox 61.0,,2018-07-25 11:24:32,2018-07-25 11:24:52,20.776s,PASSED
openBrowser,Firefox 61.0,,2018-07-25 11:24:32,2018-07-25 11:24:37,5.202s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-25 11:24:37,2018-07-25 11:24:41,3.976s,PASSED
click,Firefox 61.0,,2018-07-25 11:24:41,2018-07-25 11:24:41,0.293s,PASSED
setText,Firefox 61.0,,2018-07-25 11:24:41,2018-07-25 11:24:41,0.072s,PASSED
setEncryptedText,Firefox 61.0,,2018-07-25 11:24:41,2018-07-25 11:24:42,0.175s,PASSED
click,Firefox 61.0,,2018-07-25 11:24:42,2018-07-25 11:24:44,2.694s,PASSED
click,Firefox 61.0,,2018-07-25 11:24:44,2018-07-25 11:24:45,0.730s,PASSED
click,Firefox 61.0,,2018-07-25 11:24:45,2018-07-25 11:24:46,0.735s,PASSED
click,Firefox 61.0,,2018-07-25 11:24:46,2018-07-25 11:24:48,1.970s,PASSED
click,Firefox 61.0,,2018-07-25 11:24:48,2018-07-25 11:24:49,1.441s,PASSED
click,Firefox 61.0,,2018-07-25 11:24:49,2018-07-25 11:24:51,1.821s,PASSED
click,Firefox 61.0,,2018-07-25 11:24:51,2018-07-25 11:24:52,0.578s,PASSED
click,Firefox 61.0,,2018-07-25 11:24:52,2018-07-25 11:24:52,0.563s,PASSED
closeBrowser,Firefox 61.0,,2018-07-25 11:24:52,2018-07-25 11:24:52,0.241s,PASSED
,,,,,,
Test Cases/DAY2/Test VAR_global,Firefox 61.0,,2018-07-25 11:24:52,2018-07-25 11:25:04,11.208s,PASSED
openBrowser,Firefox 61.0,,2018-07-25 11:24:53,2018-07-25 11:24:57,4.360s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-25 11:24:57,2018-07-25 11:25:01,4.072s,PASSED
setText,Firefox 61.0,,2018-07-25 11:25:01,2018-07-25 11:25:01,0.058s,PASSED
setText,Firefox 61.0,,2018-07-25 11:25:01,2018-07-25 11:25:01,0.036s,PASSED
click,Firefox 61.0,,2018-07-25 11:25:01,2018-07-25 11:25:03,2.194s,PASSED
closeBrowser,Firefox 61.0,,2018-07-25 11:25:03,2018-07-25 11:25:04,0.307s,PASSED
