Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange HRM,Firefox 61.0,,2018-07-26 15:00:55,2018-07-26 15:01:38,42.725s,INCOMPLETE
,,,,,,
Test Cases/DAY1/Orange HRM,Firefox 61.0,,2018-07-26 15:00:55,2018-07-26 15:01:20,24.208s,PASSED
openBrowser,Firefox 61.0,,2018-07-26 15:00:56,2018-07-26 15:01:03,7.089s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-26 15:01:03,2018-07-26 15:01:07,4.542s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:07,2018-07-26 15:01:07,0.274s,PASSED
setText,Firefox 61.0,,2018-07-26 15:01:07,2018-07-26 15:01:08,0.075s,PASSED
setEncryptedText,Firefox 61.0,,2018-07-26 15:01:08,2018-07-26 15:01:08,0.169s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:08,2018-07-26 15:01:10,1.999s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:10,2018-07-26 15:01:11,1.501s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:11,2018-07-26 15:01:12,1.207s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:12,2018-07-26 15:01:15,2.298s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:15,2018-07-26 15:01:16,1.269s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:16,2018-07-26 15:01:17,1.448s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:17,2018-07-26 15:01:18,0.544s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:18,2018-07-26 15:01:19,1.234s,PASSED
closeBrowser,Firefox 61.0,,2018-07-26 15:01:19,2018-07-26 15:01:20,0.275s,PASSED
,,,,,,
Test Cases/DAY1/Orange validation 2,Firefox 61.0,,2018-07-26 15:01:20,2018-07-26 15:01:38,18.250s,FAILED
openBrowser,Firefox 61.0,,2018-07-26 15:01:20,2018-07-26 15:01:24,3.872s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-26 15:01:24,2018-07-26 15:01:27,3.327s,PASSED
setText,Firefox 61.0,,2018-07-26 15:01:27,2018-07-26 15:01:27,0.065s,PASSED
setEncryptedText,Firefox 61.0,,2018-07-26 15:01:27,2018-07-26 15:01:27,0.031s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:27,2018-07-26 15:01:30,2.696s,PASSED
click,Firefox 61.0,,2018-07-26 15:01:30,2018-07-26 15:01:30,0.743s,PASSED
selectOptionByValue,Firefox 61.0,,2018-07-26 15:01:30,2018-07-26 15:01:38,7.395s,FAILED
