Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange HRM2,Chrome 67.0.3396.99,,2018-07-24 15:50:18,2018-07-24 15:50:38,19.887s,FAILED
,,,,,,
Test Cases/Test demo1/Orange validation 2,Chrome 67.0.3396.99,,2018-07-24 15:50:18,2018-07-24 15:50:37,18.980s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:50:19,2018-07-24 15:50:21,2.762s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:50:21,2018-07-24 15:50:25,3.984s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:50:25,2018-07-24 15:50:26,0.196s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:50:26,2018-07-24 15:50:26,0.211s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:26,2018-07-24 15:50:30,4.158s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:30,2018-07-24 15:50:31,1.079s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 15:50:31,2018-07-24 15:50:31,0.177s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:31,2018-07-24 15:50:33,1.828s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 15:50:33,2018-07-24 15:50:33,0.181s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 15:50:33,2018-07-24 15:50:33,0.121s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 15:50:33,2018-07-24 15:50:34,0.116s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 15:50:34,2018-07-24 15:50:34,0.181s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:34,2018-07-24 15:50:34,0.070s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:34,2018-07-24 15:50:34,0.619s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:34,2018-07-24 15:50:34,0.070s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:34,2018-07-24 15:50:35,0.069s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:35,2018-07-24 15:50:35,0.069s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:35,2018-07-24 15:50:35,0.045s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:35,2018-07-24 15:50:35,0.051s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:35,2018-07-24 15:50:35,0.519s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:35,2018-07-24 15:50:35,0.067s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:35,2018-07-24 15:50:37,2.096s,FAILED
